id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
921809840485359618,UlfJagler,RT @stoppa_VL: Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz,Sat Oct 21 18:46:07 +0000 2017,21/10/2017 19:46:07,,en,,,415043493,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/575317862039969792/i55kOGOM_normal.jpeg,91,148,"Björlanda, Absurdistan",http://twitter.com/UlfJagler/statuses/921809840485359618,"{""hashtags"":[{""text"":""västlänken"",""indices"":[75,86]},{""text"":""gbgpol"",""indices"":[87,94]}],""symbols"":[],""user_mentions"":[{""screen_name"":""stoppa_VL"",""name"":""Stoppa Västlänken Nu"",""id"":3021205186,""id_str"":""3021205186"",""indices"":[3,13]}],""urls"":[{""url"":""https://t.co/RK1fzCFBxh"",""expanded_url"":""http://stoppavastlanken.nu/trafikverket-ger-sig-pa-cwejman/"",""display_url"":""stoppavastlanken.nu/trafikverket-g…"",""indices"":[95,118]}]}"
921762373509222400,linvitea,RT @stoppa_VL: Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz,Sat Oct 21 15:37:30 +0000 2017,21/10/2017 16:37:30,,en,,,155199864,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/892000659309985792/uExY_13B_normal.jpg,51,431,,http://twitter.com/linvitea/statuses/921762373509222400,"{""hashtags"":[{""text"":""västlänken"",""indices"":[75,86]},{""text"":""gbgpol"",""indices"":[87,94]}],""symbols"":[],""user_mentions"":[{""screen_name"":""stoppa_VL"",""name"":""Stoppa Västlänken Nu"",""id"":3021205186,""id_str"":""3021205186"",""indices"":[3,13]}],""urls"":[{""url"":""https://t.co/RK1fzCFBxh"",""expanded_url"":""http://stoppavastlanken.nu/trafikverket-ger-sig-pa-cwejman/"",""display_url"":""stoppavastlanken.nu/trafikverket-g…"",""indices"":[95,118]}]}"
921742406738956289,stoppa_VL,Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz,Sat Oct 21 14:18:09 +0000 2017,21/10/2017 15:18:09,,sv,,,3021205186,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://pbs.twimg.com/profile_images/563610641202544640/URJkJeVz_normal.jpeg,256,168,Göteborg,http://twitter.com/stoppa_VL/statuses/921742406738956289,"{""hashtags"":[{""text"":""västlänken"",""indices"":[60,71]},{""text"":""gbgpol"",""indices"":[72,79]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/RK1fzCFBxh"",""expanded_url"":""http://stoppavastlanken.nu/trafikverket-ger-sig-pa-cwejman/"",""display_url"":""stoppavastlanken.nu/trafikverket-g…"",""indices"":[80,103]}],""media"":[{""id"":921742404285169700,""id_str"":""921742404285169665"",""indices"":[104,127],""media_url"":""http://pbs.twimg.com/media/DMqv1UXVAAEmVWT.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DMqv1UXVAAEmVWT.jpg"",""url"":""https://t.co/6yxdTrjwrz"",""display_url"":""pic.twitter.com/6yxdTrjwrz"",""expanded_url"":""https://twitter.com/stoppa_VL/status/921742406738956289/photo/1"",""type"":""photo"",""sizes"":{""large"":{""w"":300,""h"":169,""resize"":""fit""},""medium"":{""w"":300,""h"":169,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":300,""h"":169,""resize"":""fit""}}}]}"
921457916527431680,Per_K,"Trafikmiljön i Göteborg är besvärlig, och mycket värre skulle det bli om man drar igång bygget av #västlänken https://t.co/xR0oxVwwII",Fri Oct 20 19:27:41 +0000 2017,20/10/2017 20:27:41,,sv,,,21607299,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/779996268932296704/-SOshFO3_normal.jpg,1379,3389,"Mölndal, Sweden",http://twitter.com/Per_K/statuses/921457916527431680,"{""hashtags"":[{""text"":""västlänken"",""indices"":[98,109]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/xR0oxVwwII"",""expanded_url"":""https://www.svt.se/nyheter/lokalt/vast/har-ar-goteborgarnas-forbjudna-vanstersvang"",""display_url"":""svt.se/nyheter/lokalt…"",""indices"":[110,133]}]}"
921290537126244352,Brandpug,#Västlänken kan försenas flera år. https://t.co/wsFqGdwL7Z,Fri Oct 20 08:22:35 +0000 2017,20/10/2017 09:22:35,,sv,,,794323056,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/378800000416637188/b705f2fa47cb2c092dc56174bc260c7a_normal.png,45,82,,http://twitter.com/Brandpug/statuses/921290537126244352,"{""hashtags"":[{""text"":""Västlänken"",""indices"":[0,11]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/wsFqGdwL7Z"",""expanded_url"":""http://spanaren.se/2017/10/18/fortsatta-processen-om-vastlanken-kan-paga-i-flera-ar/"",""display_url"":""spanaren.se/2017/10/18/for…"",""indices"":[35,58]}]}"
921110009295011840,Mariasigroth,"RT @gbgnarastorstad: Korsvägen ovanför den planerade nya tågstationen föreslås bli en annan plats än idag. #västlänken #gbgftw
https://t.co/DU8Em8dsYj https://t.co/us7mIB3ken",Thu Oct 19 20:25:14 +0000 2017,19/10/2017 21:25:14,,sv,,,3348957514,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,6,67,"Göteborg, Sverige",http://twitter.com/Mariasigroth/statuses/921110009295011840,"{""hashtags"":[{""text"":""västlänken"",""indices"":[107,118]},{""text"":""gbgftw"",""indices"":[119,126]}],""symbols"":[],""user_mentions"":[{""screen_name"":""gbgnarastorstad"",""name"":""gbgnarastorstad"",""id"":2494062570,""id_str"":""2494062570"",""indices"":[3,19]}],""urls"":[]}"
921089812853153792,jansylvan,@tumayer4 @mpgoteborg Det tycker jag att vi applicerar på #västlänken!,Thu Oct 19 19:04:59 +0000 2017,19/10/2017 20:04:59,,sv,2442390024,tumayer4,80324652,921055579396825089,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/845026270/n1149942400_30089178_2926_normal.jpg,235,518,"Göteborg, Sweden",http://twitter.com/jansylvan/statuses/921089812853153792,"{""hashtags"":[{""text"":""västlänken"",""indices"":[58,69]}],""symbols"":[],""user_mentions"":[{""screen_name"":""tumayer4"",""name"":""Derya Tumayer"",""id"":2442390024,""id_str"":""2442390024"",""indices"":[0,9]},{""screen_name"":""mpgoteborg"",""name"":""MP Göteborg"",""id"":1875784194,""id_str"":""1875784194"",""indices"":[10,21]}],""urls"":[]}"
921061667399782401,jansylvan,"@KarinPleijel @HenrikMunck Gäller det #västlänken också? Började på 12 miljarder, var landar vi efter MMDs dom?",Thu Oct 19 17:13:08 +0000 2017,19/10/2017 18:13:08,,sv,2159172895,KarinPleijel,80324652,921049880797351943,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/845026270/n1149942400_30089178_2926_normal.jpg,235,518,"Göteborg, Sweden",http://twitter.com/jansylvan/statuses/921061667399782401,"{""hashtags"":[{""text"":""västlänken"",""indices"":[38,49]}],""symbols"":[],""user_mentions"":[{""screen_name"":""KarinPleijel"",""name"":""Karin Pleijel"",""id"":2159172895,""id_str"":""2159172895"",""indices"":[0,13]},{""screen_name"":""HenrikMunck"",""name"":""Henrik Munck"",""id"":413149919,""id_str"":""413149919"",""indices"":[14,26]}],""urls"":[]}"
920958940753612801,jansylvan,@JohanTrouve @Trafikverket @GoteborgsPosten Ännu mer intressant är varför man envisas med att driva vidare ett projekt med kraftigt negativ samhällsnytta och enorma risker. #västlänken,Thu Oct 19 10:24:56 +0000 2017,19/10/2017 11:24:56,,sv,623641105,JohanTrouve,80324652,920932472610873344,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/845026270/n1149942400_30089178_2926_normal.jpg,235,518,"Göteborg, Sweden",http://twitter.com/jansylvan/statuses/920958940753612801,"{""hashtags"":[{""text"":""västlänken"",""indices"":[173,184]}],""symbols"":[],""user_mentions"":[{""screen_name"":""JohanTrouve"",""name"":""Johan Trouvé"",""id"":623641105,""id_str"":""623641105"",""indices"":[0,12]},{""screen_name"":""Trafikverket"",""name"":""Trafikverket"",""id"":36625266,""id_str"":""36625266"",""indices"":[13,26]},{""screen_name"":""GoteborgsPosten"",""name"":""Göteborgs-Posten"",""id"":48356270,""id_str"":""48356270"",""indices"":[27,43]}],""urls"":[]}"
920953631863648256,LenHellstrom,RT @stoppa_VL: Desperationen lyser igenom mer och mer i projekt #västlänken! https://t.co/hs4HJuZLmc,Thu Oct 19 10:03:50 +0000 2017,19/10/2017 11:03:50,,en,,,350320916,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/2169389150/Mafalda_augusti_-11_017_normal.jpg,103,247,Gothenburg,http://twitter.com/LenHellstrom/statuses/920953631863648256,"{""hashtags"":[{""text"":""västlänken"",""indices"":[64,75]}],""symbols"":[],""user_mentions"":[{""screen_name"":""stoppa_VL"",""name"":""Stoppa Västlänken Nu"",""id"":3021205186,""id_str"":""3021205186"",""indices"":[3,13]}],""urls"":[{""url"":""https://t.co/hs4HJuZLmc"",""expanded_url"":""https://twitter.com/vastlanken/status/920673600394407937"",""display_url"":""twitter.com/vastlanken/sta…"",""indices"":[77,100]}]}"
