from_user;text
UlfJagler;RT @stoppa_VL: Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz
linvitea;RT @stoppa_VL: Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz
stoppa_VL;Trafikverket ger sig på Adam Cwejman efter hans ledare i GP #västlänken #gbgpol https://t.co/RK1fzCFBxh https://t.co/6yxdTrjwrz
Per_K;Trafikmiljön i Göteborg är besvärlig, och mycket värre skulle det bli om man drar igång bygget av #västlänken https://t.co/xR0oxVwwII
Brandpug;#Västlänken kan försenas flera år. https://t.co/wsFqGdwL7Z
Mariasigroth;"RT @gbgnarastorstad: Korsvägen ovanför den planerade nya tågstationen föreslås bli en annan plats än idag. #västlänken #gbgftw
https://t.co/DU8Em8dsYj https://t.co/us7mIB3ken"
jansylvan;@tumayer4 @mpgoteborg Det tycker jag att vi applicerar på #västlänken!
jansylvan;@KarinPleijel @HenrikMunck Gäller det #västlänken också? Började på 12 miljarder, var landar vi efter MMDs dom?
jansylvan;@JohanTrouve @Trafikverket @GoteborgsPosten Ännu mer intressant är varför man envisas med att driva vidare ett projekt med kraftigt negativ samhällsnytta och enorma risker. #västlänken
LenHellstrom;RT @stoppa_VL: Desperationen lyser igenom mer och mer i projekt #västlänken! https://t.co/hs4HJuZLmc
angelaolsson1;RT @stoppa_VL: Det finns en handfull individer som tror att #västlänken kommer att på börjas vid kommande årsskifte. https://t.co/Fq3c3DZpMH #gbgpol
jansylvan;RT @stoppa_VL: Det finns en handfull individer som tror att #västlänken kommer att på börjas vid kommande årsskifte. https://t.co/Fq3c3DZpMH #gbgpol
jansylvan;RT @stoppa_VL: Desperationen lyser igenom mer och mer i projekt #västlänken! https://t.co/hs4HJuZLmc
AuliCarl;RT @stoppa_VL: Desperationen lyser igenom mer och mer i projekt #västlänken! https://t.co/hs4HJuZLmc
stoppa_VL;Desperationen lyser igenom mer och mer i projekt #västlänken! https://t.co/hs4HJuZLmc
Per_K;Processen om #västlänken kan pågå i flera år. #gbgftw https://t.co/pNgmfafkS4
EiramRu;RT @stoppa_VL: Det finns en handfull individer som tror att #västlänken kommer att på börjas vid kommande årsskifte. https://t.co/Fq3c3DZpMH #gbgpol
AuliCarl;RT @stoppa_VL: Det finns en handfull individer som tror att #västlänken kommer att på börjas vid kommande årsskifte. https://t.co/Fq3c3DZpMH #gbgpol
stoppa_VL;Det finns en handfull individer som tror att #västlänken kommer att på börjas vid kommande årsskifte. https://t.co/Fq3c3DZpMH #gbgpol
kenth_m;https://t.co/po4DcL7hfp #Bostäder #Göteborg #Västlänken #Åsikter ???
angelaolsson1;"RT @stoppa_VL: Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
EiramRu;"RT @stoppa_VL: Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
LenHellstrom;"RT @stoppa_VL: Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
AuliCarl;"RT @stoppa_VL: Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
jansylvan;"RT @stoppa_VL: Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
stoppa_VL;"Ännu ett exempel på hur vissa av våra politiker hanterar sanningen.
https://t.co/w6KQcYkCeN #västlänken #gbgpol"
jansylvan;@mekwestlund @Per_K @MalmLena @SGoteborg @mpgoteborg Han har väl ungefär samma koll på #västlänken som de medier du nämnde.
wickman_;RT @skjutsgruppen: I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
AuliCarl;RT @stoppa_VL: Nidbild blev ett ord som plötsligt dök upp i Västlänksdebatten #västlänken #gbgpol https://t.co/2f0QhyHx16
angelaolsson1;RT @stoppa_VL: Nidbild blev ett ord som plötsligt dök upp i Västlänksdebatten #västlänken #gbgpol https://t.co/2f0QhyHx16
Per_K;RT @stoppa_VL: Nidbild blev ett ord som plötsligt dök upp i Västlänksdebatten #västlänken #gbgpol https://t.co/2f0QhyHx16
Per_K;@mpgoteborg @MalmLena @jansylvan @SGoteborg Ok. Då undrar jag: Menar ni (MP) att det är bättre att satsa på #västlänken jf.m. ny järnväg Göteborg-Landvetter flygpl-Borås?
dt96hasv;I en bilkö (på buss) men lugn bara vänta tills köerna varit värre i (minst) 8 år sedan blir det normala köer igen… #löseringet #västlänken
trewe;"@mpgoteborg @jansylvan @MalmLena @SGoteborg Göteborg, VGR och region Halland har solidariskt betalningsansvar för nya &amp; oförutsedda kostnader avseende #västlänken och #vsp"
gronabilister;RT @skjutsgruppen: I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
Sarahgbg;RT @stoppa_VL: Nidbild blev ett ord som plötsligt dök upp i Västlänksdebatten #västlänken #gbgpol https://t.co/2f0QhyHx16
stoppa_VL;Nidbild blev ett ord som plötsligt dök upp i Västlänksdebatten #västlänken #gbgpol https://t.co/2f0QhyHx16
GustafZ_vgr;RT @skjutsgruppen: I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
skjutsgruppen;RT @skjutsgruppen: I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
Per_K;@mpgoteborg @jansylvan @MalmLena @SGoteborg Nej, den blir en flaskhals från början, och de flesta av oss resenärer skulle få längre  resväg med #västlänken
Per_K;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
gbgtechweek;RT @skjutsgruppen: I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
skjutsgruppen;I december kommer vår och @vgregion 's app för ökad #samåkning i #VästraGötalandsRegionen . #gbgftw #västlänken #Skjutgruppen @GustafZ_vgr @Klimat2030 @InfoKompis #Klimat2030 @FossilfrittSE #swgreen #svpol @vgrmiljo  #gbgtech #VästraGötaland #Göteborg @svtnyheter https://t.co/Mmz4RqDKJY
magnusgus;"Eller så har du fel igen, Johan Trouvé. ..
#västlänken är ett totalt fiasko redan på ritbordet! Negativ nytta big.  https://t.co/JFilwI1LAw"
metteramquist;"RT @gbgnarastorstad: Korsvägen ovanför den planerade nya tågstationen föreslås bli en annan plats än idag. #västlänken #gbgftw
https://t.co/DU8Em8dsYj https://t.co/us7mIB3ken"
dysterkvist;RT @HerrSodersten: Ledare för motståndet mot #Västlänken är missnöjd med ett reportage. Listar då alla hon vill hänga. https://t.co/MSmJ5bL6Vc
Liljerosso;RT @HerrSodersten: Ledare för motståndet mot #Västlänken är missnöjd med ett reportage. Listar då alla hon vill hänga. https://t.co/MSmJ5bL6Vc
AndersHgstrm1;RT @HerrSodersten: Ledare för motståndet mot #Västlänken är missnöjd med ett reportage. Listar då alla hon vill hänga. https://t.co/MSmJ5bL6Vc
HerrSodersten;Ledare för motståndet mot #Västlänken är missnöjd med ett reportage. Listar då alla hon vill hänga. https://t.co/MSmJ5bL6Vc
AuliCarl;RT @skonagoteborg: Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
jansylvan;@MalmLena @mpgoteborg @SGoteborg Ta pengarna från #västlänken till Boråsbanan när den stoppas av det sunda förnuftet eller MMD
Per_K;RT @skonagoteborg: Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
AndersHgstrm1;"RT @MagnusOsterlund: Motståndarna till #västlänken påstår sig stå för sanningen. Varför är det då så läskigt när deras ""sanning"" granskas. https://t.co/9gEDrhAAbP"
gryningsrad;Vänta bara och se tills det börjar att grävas i samband med #västlänken https://t.co/2IlMPFtS9m #gbgftw
Liljerosso;"RT @MagnusOsterlund: Motståndarna till #västlänken påstår sig stå för sanningen. Varför är det då så läskigt när deras ""sanning"" granskas. https://t.co/9gEDrhAAbP"
AndersHgstrm1;"RT @Liljerosso: Snacka om självmål. Som sagt - saliga är de som tror, fastän de inte ser.
#västlänken #gbgftw #kfgbg https://t.co/cCbGn2npqI"
sister756;https://t.co/us4tUOhwBr #gbgpol #västlänken
UlfJagler;@nya_moderaterna @Ericson_ubbhult Ungefär som #västlänken. Den är också underfinansierad. 45-50 miljarder upp i rök, och @nya_moderaterna gör ingenting åt det? Skäms på er
MagnusOsterlund;"Motståndarna till #västlänken påstår sig stå för sanningen. Varför är det då så läskigt när deras ""sanning"" granskas. https://t.co/9gEDrhAAbP"
UlfJagler;@HenrikSundstrom Å ändå vill man slänga minst 45 miljarder i sjön och bygga #västlänken. Där kan ni börja spara pengar.
trewe;@GoteborgsPosten #västlänken marknadsförs som klimatsmart trots att CO2-utsläpp vid bygget aldrig kan räknas hem under tunnels livstid. Ansvar?
stoppa_VL;@axeljosefson Lägger ni över pengarna från #västlänken? Den lär ju inte klara MMD.
Liljerosso;"Snacka om självmål. Som sagt - saliga är de som tror, fastän de inte ser.
#västlänken #gbgftw #kfgbg https://t.co/cCbGn2npqI"
Per_K;Huvudförhandlingen i mark- och miljödomstolen är avslutad. #västlänken #gbgftw  https://t.co/jIMvtVcjhv
stoppa_VL;RT @skonagoteborg: Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
edward_jobson;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
skonagoteborg;Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
