created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 19:04:31,920727307396018176,2017-10-18 19:04:31,tildaalskog,Sverige,337,"RT @jonielol: alla känner nån som blivit utsatt, men ingen känner nån eller är nån som utsätter. killar, vilka är ni? vrf e ni så fkn tysta…",
2017-10-18 19:04:17,920727249984327683,2017-10-18 19:04:17,inactivelouis,Sweden,24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 19:04:10,920727222712926209,2017-10-18 19:04:10,maliinhogberg,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 19:04:04,920727196360114176,2017-10-18 19:04:04,molinlinn,,40,RT @feliciaaveklew: För att jag sagt ”okej” när det inte alls var okej. #MeToo,
2017-10-18 19:03:54,920727153557286913,2017-10-18 19:03:54,simsalabimw,"Falun, Sweden",191,RT @KlaraOrnberg: Män som driver med och förlöjligar hashtagen #MeToo. Det är ni som är problemet.,
2017-10-18 19:03:53,920727150680072197,2017-10-18 19:03:53,glimmergarden,"skåne, sweden",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 19:03:51,920727142941560832,2017-10-18 19:03:51,UlricaMalmberg,,0,"#MeToo 
Dags för er killar att agera – här är tio tips | Erika Hallhagen | SvD https://t.co/nQjMDliUuL",
2017-10-18 19:03:50,920727135760846848,2017-10-18 19:03:50,fswahn,Stjärnsund Sweden,0,"#Sharing #Healing #metoo

Skam…ilska, frustration, sorg, maktlöshet, vrede. Många känslor… https://t.co/ZNkewZl02F",
2017-10-18 19:03:44,920727112784515077,2017-10-18 19:03:44,DisaHaglund,"Stockholm, Sweden",337,"RT @jonielol: alla känner nån som blivit utsatt, men ingen känner nån eller är nån som utsätter. killar, vilka är ni? vrf e ni så fkn tysta…",
2017-10-18 19:03:39,920727092215631874,2017-10-18 19:03:39,tyckelse,"Stockholm, Sweden",52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 19:03:39,920727091796217856,2017-10-18 19:03:39,jessicakoloni,,143,RT @karinsandell: Stödtelefonen Kvinnofridslinjen är öppen dygnet runt för dig som har utsatts för sexuella övergrepp 020-505050 kvinnofrid…,
2017-10-18 19:03:34,920727070455582720,2017-10-18 19:03:34,teklaekstrom,"Linköping, Sweden",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 19:03:20,920727012557418496,2017-10-18 19:03:20,maddewiklund,,1741,"RT @SilvanaImam: ”Inte alla män” men nästan alla kvinnor. 

Följ #MeToo",
2017-10-18 19:03:18,920727003602608128,2017-10-18 19:03:18,LunaNorra,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 19:03:12,920726979216838657,2017-10-18 19:03:12,Fiilippaa,,40,RT @feliciaaveklew: För att jag sagt ”okej” när det inte alls var okej. #MeToo,
2017-10-18 19:03:09,920726964281008130,2017-10-18 19:03:09,janneochkenneth,"Göteborg, Sverige",0,#MeToo taggen har verkligen pondus. Seglar upp på en klar 2:a plats efter Lamotte i att lyfta och förändra situationen för kvinnor 👊,
2017-10-18 19:03:05,920726948560670720,2017-10-18 19:03:05,ATmsson,,4,RT @FiStockholm: Det handlar om makt. #metoo https://t.co/XyZz5cBUdn,
2017-10-18 19:02:59,920726922371444736,2017-10-18 19:02:59,SvD,"Stockholm, Sverige",0,Mårten Schultz: Forsen av reaktioner på taggen #metoo är en reaktion på uppgivenhet. Läs torsdagens eSvD på http:… https://t.co/rxl6YeGI5N,
2017-10-18 19:02:45,920726865182183424,2017-10-18 19:02:45,JockeClaeson,,34,"RT @AlltidBlavitt: Krönika: #MeToo behövs även inom fotbollen
https://t.co/Ro7aTpUS9q",
2017-10-18 19:02:28,920726795162456064,2017-10-18 19:02:28,felicityjaarnek,"Stockholm, Sweden",828,"RT @linnea_claeson: #MeToo Alla känner en kvinna som utsatts för sexuellt våld, men ingen känner en våldtäktsman...........",
2017-10-18 19:02:28,920726793954516992,2017-10-18 19:02:28,StefanssonEllen,,40,RT @feliciaaveklew: För att jag sagt ”okej” när det inte alls var okej. #MeToo,
2017-10-18 19:02:28,920726793560248320,2017-10-18 19:02:28,JosseSundberg,Sverige,828,"RT @linnea_claeson: #MeToo Alla känner en kvinna som utsatts för sexuellt våld, men ingen känner en våldtäktsman...........",
2017-10-18 19:02:25,920726782101385216,2017-10-18 19:02:25,simsalabimw,"Falun, Sweden",56,RT @linnea_claeson: Män som sett #metoo och tycker det är hemskt med våldtäkter - GÖR NÅGOT! Vi behöver inte fler som bara ser på. Tips om…,
2017-10-18 19:02:14,920726734244282374,2017-10-18 19:02:14,reggaeblicken,,0,"@geniet Du missar inte mycket, senaste dagarna består av att sexuellt trakassera kvinnor som skriver under #metoo o… https://t.co/7pdbRGg33h",920726060119023617
2017-10-18 19:02:13,920726729919991810,2017-10-18 19:02:13,MiaLiljeberg,"Stockholm, Sverige",7,RT @ErenYesilgul: Tycker alla bör läsa och förstå #metoo https://t.co/s0MfZ6Skvu,
2017-10-18 19:02:07,920726703382650880,2017-10-18 19:02:07,strandhall,Stockholm,52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 19:01:48,920726627088289792,2017-10-18 19:01:48,maliinhogberg,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 19:01:47,920726623049211908,2017-10-18 19:01:47,ellenhenriksson,"Sundsvall, Sverige",40,RT @feliciaaveklew: För att jag sagt ”okej” när det inte alls var okej. #MeToo,
2017-10-18 19:01:47,920726622294114304,2017-10-18 19:01:47,EngstrmHillevi,,2,RT @Charl8: Vi bad er berätta för oss om sexuella övergrepp. Svaren har ekat – från hundratals personer. #MeToo  https://t.co/jJcKqfeNez vi…,
2017-10-18 19:01:45,920726614136250368,2017-10-18 19:01:45,VictorHarju,Järfälla,52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 19:01:40,920726594209107968,2017-10-18 19:01:40,MiaLiljeberg,"Stockholm, Sverige",24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 19:01:24,920726523765805056,2017-10-18 19:01:24,sofierikson,Sweden,0,Ni kommer väl? 💪🏼 #sergelstorg #metoo https://t.co/IoD7yAJsAr,
