created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 19:07:42,918191395126562817,2017-10-11 19:07:42,Ragnhild63,,3,RT @AnnikaOdmyr: @vistarinteut Och nu är den ohållbar för oss som står nära de barn och unga ni vräker från vårt land. #vistårinteut #låtde…,
2017-10-11 19:07:06,918191242567208960,2017-10-11 19:07:06,persikan32,Sverige,3,RT @afroturken: @SanningenSuger @tinalqvist Den vanliga visan https://t.co/yORuiK3IM0 #Vistårinteut #UngiSverige #tröttpådem,
2017-10-11 19:05:39,918190878551887872,2017-10-11 19:05:39,zetterbergskan,Sweden,3,RT @afroturken: @SanningenSuger @tinalqvist Den vanliga visan https://t.co/yORuiK3IM0 #Vistårinteut #UngiSverige #tröttpådem,
2017-10-11 19:02:12,918190011815776256,2017-10-11 19:02:12,Hamnviken,"Kramfors, Sweden",3,RT @AnnikaOdmyr: @vistarinteut Och nu är den ohållbar för oss som står nära de barn och unga ni vräker från vårt land. #vistårinteut #låtde…,
2017-10-11 18:57:17,918188773409685504,2017-10-11 18:57:17,EliAhl,Stockholm,3,RT @AnnikaOdmyr: @vistarinteut Och nu är den ohållbar för oss som står nära de barn och unga ni vräker från vårt land. #vistårinteut #låtde…,
2017-10-11 18:52:02,918187453118337025,2017-10-11 18:52:02,herrLandin,Värnamo,0,@ChangFrick alltså 10 ggr större än Vistårinteut-bolsjevikerna,918143397604614145
2017-10-11 18:46:06,918185961476980737,2017-10-11 18:46:06,sodermolle,,37,"RT @Limhamnskyrka: Jesus sade:""Den som tar emot ett sådant barn i mitt namn, tar emot mig"". #vistaarinteut @Migrationsverk",
2017-10-11 18:41:13,918184729207242752,2017-10-11 18:41:13,sodermolle,,10,RT @berge_stina: #vistårinteut - Björn Kjellman talar om rättsosäkerhet i asylprocessen https://t.co/WEv0bHXP3g via @YouTube. #rättsosäkerh…,
2017-10-11 18:40:18,918184498579337216,2017-10-11 18:40:18,sodermolle,,5,RT @MajBrittJonsso1: @vistarinteut Varför gör vi så här mot unga människor? @Migrationsverk @socialdemokrat @Swpol ta ert medmänskliga ansv…,
2017-10-11 18:30:29,918182027471486978,2017-10-11 18:30:29,AnnikaOdmyr,,0,"Ingen, säger ingen, kan säga vi visste inte. Utvisningarna blir vår tids skamliga historia. #låtdeungastanna #vistårinteut",
2017-10-11 18:24:40,918180566951964673,2017-10-11 18:24:40,AnnikaOdmyr,,3,@vistarinteut Och nu är den ohållbar för oss som står nära de barn och unga ni vräker från vårt land. #vistårinteut #låtdeungastanna,918171556106338305
2017-10-11 18:24:13,918180454498492416,2017-10-11 18:24:13,AnnikaOdmyr,,0,@socialdemokrat @SwedishPM Och nu är den ohållbar för oss som står nära de barn och unga ni vräker från vårt land.… https://t.co/ZtVWUmzIDB,918020579717869568
2017-10-11 18:15:12,918178182502772736,2017-10-11 18:15:12,sodermolle,,4,RT @berge_stina: #vistårinteut - WilliamSpetz talar om rättsosäkerhet i asylprocessen https://t.co/MQeZNEhSTB via @YouTube,
2017-10-11 18:12:34,918177521123889152,2017-10-11 18:12:34,sodermolle,,13,RT @berge_stina: #vistårinteut - Björn Kjellman talar om rättsosäkerhet i asylprocessen https://t.co/WEv0bHXP3g via @YouTube,
2017-10-11 18:12:11,918177422117425153,2017-10-11 18:12:11,sodermolle,,16,RT @berge_stina: #vistårinteut - Gunilla Röör talar om rättsosäkerhet i asylprocessen https://t.co/MA2oCROUDA via @YouTube,
2017-10-11 18:07:53,918176341010321408,2017-10-11 18:07:53,micblo63,"Västerås, Sverige",3,RT @afroturken: @SanningenSuger @tinalqvist Den vanliga visan https://t.co/yORuiK3IM0 #Vistårinteut #UngiSverige #tröttpådem,
2017-10-11 17:54:17,918172919750066178,2017-10-11 17:54:17,afroturken, Sverige ,3,@SanningenSuger @tinalqvist Den vanliga visan https://t.co/yORuiK3IM0 #Vistårinteut #UngiSverige #tröttpådem,918164271548203011
2017-10-11 17:40:23,918169420807229446,2017-10-11 17:40:23,alexander7734,Sweden,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 17:13:04,918162546074546179,2017-10-11 17:13:04,MorKarins,Dalarna,2,RT @DJM_GROUP_SR: Äntligen! 2018 blir det verklighet. #svpol #inganazister #vistaarinteut #amnestinu https://t.co/SH6ahgrt27,
2017-10-11 17:03:54,918160238804721664,2017-10-11 17:03:54,KARLBERG_H,,2,RT @DJM_GROUP_SR: Äntligen! 2018 blir det verklighet. #svpol #inganazister #vistaarinteut #amnestinu https://t.co/SH6ahgrt27,
2017-10-11 16:53:37,918157651334389761,2017-10-11 16:53:37,lensah57,,10,"RT @MadeleineMaddis: Orimligt @SwedishPM skamligt och oanständigt av @socialdemokrat 
#låtdeungastanna #vistårinteut 
https://t.co/kjegHttI…",
2017-10-11 16:30:37,918151864386048002,2017-10-11 16:30:37,ambrowoll,,10,"RT @MadeleineMaddis: Orimligt @SwedishPM skamligt och oanständigt av @socialdemokrat 
#låtdeungastanna #vistårinteut 
https://t.co/kjegHttI…",
2017-10-11 16:22:18,918149771759628288,2017-10-11 16:22:18,Odovokar,,10,"RT @MadeleineMaddis: Orimligt @SwedishPM skamligt och oanständigt av @socialdemokrat 
#låtdeungastanna #vistårinteut 
https://t.co/kjegHttI…",
